shoes,total_hands,initial_balance,strategy,card_counting,betting,wins[num],losses[num],ties[num],win_rate[num]%,winrate[balance]%,median,std,min_balance,max_balance,sharpe_like,brokes,broke_rate%,profit_count[num],profit_rate%,performance[sec]
26000,1190835,5000,random,dont,20p,383153,763098,44582,32.17520844652441,4.966405384615385,102.0,519.251123321891,0,16104,-9.151024460708962,6,0.023076923076923075,41,0.1576923076923077,22.396
26000,1117212,5000,stand19,dont,20p,415421,635173,66618,37.183721621321645,17.739733846153847,395.0,1783.1927832261747,6,70772,-2.3065443884597787,0,0.0,554,2.1307692307692307,22.459
26000,1127003,5000,stand18,dont,20p,459489,580958,86556,40.77087638630953,38.563617692307695,822.0,3906.5946485203685,8,176122,-0.7863163168331462,0,0.0,2100,8.076923076923077,23.034
26000,1138146,5000,stand17,dont,20p,474420,558999,104727,41.6835801382248,52.30994923076923,1180.0,5380.087068971961,10,220191,-0.4432089124009612,0,0.0,3107,11.95,22.996
26000,1150365,5000,stand16,dont,20p,486037,566347,97981,42.25067695905212,55.22467384615385,1180.0,6274.18902535806,10,466586,-0.3568216224669043,0,0.0,3344,12.86153846153846,23.556
26000,1164085,5000,stand15,dont,20p,494645,577535,91905,42.492171963387555,52.981217692307695,1135.0,5310.478878248958,8,191100,-0.442698138771206,0,0.0,3153,12.126923076923077,23.267
26000,1179044,5000,stand14,dont,20p,501651,591841,85552,42.547267107928114,49.79993384615385,1087.0,5172.543158255608,5,165846,-0.4852551696328007,0,0.0,2897,11.142307692307691,23.515
26000,1190877,5000,random,hilo,card_counting,384189,761802,44886,32.26101436168471,75.29153153846154,3967.0,811.3324369365062,635,9060,-1.5227092703722453,0,0.0,505,1.942307692307692,23.767
26000,1117007,5000,stand19,hilo,card_counting,415005,635202,66800,37.153303426030455,84.3597523076923,4340.0,766.3502036538265,1011,9697,-1.020437367781575,0,0.0,2529,9.726923076923077,23.434
26000,1127020,5000,stand18,hilo,card_counting,458369,581785,86866,40.67088427889479,90.79003153846153,4606.0,781.0938331672982,1161,12432,-0.5895558299437906,0,0.0,5779,22.22692307692308,23.708
26000,1137808,5000,stand17,hilo,card_counting,473428,559280,105100,41.60877757934555,93.63700923076922,4704.0,793.7121505832928,1032,12982,-0.40083742982608067,0,0.0,7489,28.803846153846152,23.784
26000,1150340,5000,stand16,hilo,card_counting,485578,566667,98095,42.21169393396735,94.10607538461538,4740.0,801.332460452416,1096,14534,-0.36775776012224887,0,0.0,7930,30.5,23.704
26000,1164402,5000,stand15,hilo,card_counting,494741,577477,92184,42.4888483530602,94.1738746153846,4743.0,804.4150225165195,1301,15763,-0.362134297690577,0,0.0,8090,31.115384615384617,24.162
26000,1178972,5000,stand14,hilo,card_counting,500399,592408,86165,42.443671266153906,93.66768461538462,4716.0,816.4775983361322,1207,15795,-0.38778255505844583,0,0.0,7854,30.20769230769231,23.986
26000,1178717,5000,random,dont,30p,379172,752518,44173,32.246273587994516,1.156516923076923,8.0,445.78954916458787,0,36788,-11.086339199983078,3979,15.303846153846154,22,0.08461538461538462,22.152
